,entry,category,confidence
88,Water bills,utilities,100.00%
89,Office furniture,miscellaneous,68.68%
90,Gym fee 40$,personal,99.99%
91,Salon $40,personal,99.99%
92,Baby's food 2.5,food,100.00%
93,My son's formula $20,food,83.79%
94,Shopping $20,miscellaneous,68.34%
95,Taxi money 3.00,transportation,100.00%
96,Health Insurance $20,medical,100.00%
97,Taxi 50$,transportation,100.00%
98,Electricity bill 10.00,utilities,100.00%
99,Fruits for $2,food,100.00%
100,Taxi fare 500 naira daily,transportation,100.00%
101,nail polish 800,personal,99.99%
102,fuel purchase 3000,transportation,100.00%
103,Phone airtime - 150,utilities,100.00%
104,Travel to university,transportation,100.00%
105,dinner 2400,food,85.19%
106,Cinema,recreation,99.99%
107,a gift for mother's birthday,personal,99.99%
108,Car insurance ,transportation,100.00%
109,cat food for 5,saving,99.99%
110,Apartment service charge - 500,housing,100.00%
111,Taxi to home,transportation,100.00%
112,Groceries shopping - 1500,food,85.05%
113,Coctails,saving,99.99%
114,beard trimmer for 15,nonsense,99.99%
115,Lunch in university,food,65.10%
116,cup 30,food,99.98%
117,Grocery store ,food,65.10%
118,Cake for my sister's birthday  12000 naira,recreation,100.00%
119,laundry services 2000,nonsense,99.99%
120,Taxi to the party,transportation,100.00%
121,Bus fare -100,transportation,100.00%
122,Car fuel,transportation,100.00%
123,Gym fee - 700,medical,100.00%
124,Cable payment ,utilities,100.00%
125,Water bill,housing,100.00%
126,Apples,food,85.05%
127,bottle of sanitizer for 3,nonsense,100.00%
128,plate 40,food,99.99%
129,final fantasy xiv online in steam,recreation,100.00%
130,postpone for a rainy day,nonsense,100.00%
131,Gass for $20,transportation,100.00%
132,guitar for 200,recreation,100.00%
133,Phone bill,utilities,99.99%
134,Subway at night $9.99,transportation,100.00%
135,Payment for fixing my nails 8000 naira,personal,99.99%
136,Payment for lunch at kfc 7000 naira,food,99.99%
137,Grocery shopping  50000 naira,food,99.99%
138,some extra money for fastfood,food,85.05%
139,wire 20,utilities,100.00%
140,breakfast 2000,food,99.99%
141,book 1oo,nonsense,100.00%
142,Netflix subscription renewal - 400,recreation,100.00%
143,New shoes,personal,100.00%
144,Travel back home,transportation,100.00%
145,soap 100,medical,99.99%
146,Bought vegtibles,food,99.99%
147,Bus fare ,transportation,100.00%
148,Repair phone ,utilities,100.00%
149,Presents for sister's birthday,miscellaneous,100.00%
150,Rent for house $995,housing,100.00%
151,spotify premium,recreation,99.99%
152,lunch 3500,food,99.99%
153,match box 20,miscellaneous,99.99%
154,Tv bill,utilities,99.99%
155,Mown the garden $20,housing,100.00%
156,Phone Internet payment $55,utilities,100.00%
157,electronic purchase 40000,utilities,100.00%
158,apples for 10,food,79.70%
159,8gb ram for main pc,utilities,100.00%
160,car 12v splitter,transportation,100.00%
161,pizza for 10,saving,99.99%
162,House rent,housing,100.00%
163,Evening drinks with friends- 500,recreation,99.99%
164,socks 50,personal,100.00%
165,vpn monthly payment,utilities,99.99%
166,short story book for 5,nonsense,100.00%
167,Dry cleaners - 300,housing,100.00%
168,Phone payment ,utilities,99.99%
169,Clothes ,personal,100.00%
170,Shopping,personal,100.00%
171,Nanny,miscellaneous,100.00%
172,School books,miscellaneous,99.99%
173,Hairdresser payment 7000 naira,personal,99.99%
174,Telephone bill 20000 naira,utilities,100.00%
175,Birthday cake for baby,food,99.99%
176,Phone payment ,utilities,99.99%
177,grocery shopping,food,99.99%
178,betting ticket 800,saving,99.99%
179,Lunch - 250,food,99.99%
180,kales 20,food,62.48%
181,jug 20,housing,100.00%
182,bottle of water for 1,food,99.99%
183,New clothes,personal,100.00%
184,new keyboard for main pc,utilities,100.00%
185,Cooking gas,housing,100.00%
186,plumbing repair 3000,nonsense,35.49%
187,Utility ,utilities,99.99%
188,gym fee for 15,personal,99.99%
189,Cable bill for the month 6000 naira,utilities,99.99%
190,snail feed 1500,food,99.99%
191,Luxury cloth payment 30000 naira,personal,100.00%
192,Health insurance ,medical,100.00%
193,Gas,transportation,100.00%
194,Breakfast,food,100.00%
195,new shoes for 20,personal,60.08%
196,pen 34,miscellaneous,99.99%
197,Monthly electricity bill 10000 naira,utilities,42.76%
198,Groceries for $50,food,74.79%
199,Internet bundle - 100,utilities,53.57%
200,Cooking oil 10$,food,100.00%
201,Home rent 400$,housing,100.00%
202,sports 500,recreation,99.99%
203,phone bill - 15 ,utilities,100.00%
204,Internet usage 15$,utilities,100.00%
205,Barbecue 30$,food,99.99%
206,Ice cream 10$,food,99.99%
207,Phone payement 10$,utilities,99.99%
208,other 60,miscellaneous,99.99%
209,cinema 100,transportation,76.89%
210,usb-c sturdy cable - 5,utilities,99.99%
211,cup of coffee out in a coffee shop 2.50 ,housing,77.38%
212,clothes 180,personal,99.99%
213,Hotel reservation 115$,personal,63.68%
214,milk and cream,food,79.90%
215,tv remote control,miscellaneous,100.00%
216,biweekly groceries - 50,food,76.06%
217,foods 80,housing,99.99%
218,mascara - 3.50,personal,100.00%
219,movie ticket,recreation,70.51%
220,shelf for living room,nonsense,91.19%
221,bags 90,personal,99.99%
222,Gym session 50$,personal,99.99%
223,Coffee 5$,food,99.99%
224,Shampoo and conditioner 15$,personal,100.00%
225,present for mom,saving,67.60%
226,donut - 3.65,food,99.99%
227,bills (gas electricity wifi) - about 25 a week,utilities,100.00%
228,Sodium salt 5$,food,99.99%
229,Uber taxi 25$,transportation,100.00%
230,candies for sister,food,100.00%
231,coffee 30,food,99.99%
232,Sparkling water 5$,food,99.99%
233,Crypto buy 250$,miscellaneous,68.51%
234,gift card for a colleague - 10,nonsense,100.00%
235,oyster / underground card top up - 25,saving,99.99%
236,Lunch 50$,housing,49.19%
237,dress,transportation,99.98%
238,accesorrices 60,saving,57.75%
239,repair of laptop,saving,63.60%
240,bookstore,miscellaneous,99.99%
241,Cup of coffee 5$,food,100.00%
242,charging brick - 10,utilities,99.99%
243,Taxi reservation 20$,transportation,100.00%
244,Grocery for the week 35$,food,99.99%
245,Dog food 25$,food,100.00%
246,Flight reservation 200$,transportation,100.00%
247,concert 450,recreation,99.99%
248,shoes 600,personal,99.99%
249,coffeeshop,food,99.99%
250,Taxi fare 500 naira daily,transportation,100.00%
251,nail polish 800,personal,64.69%
252,fuel purchase 3000,transportation,100.00%
253,Phone airtime - 150,utilities,99.99%
254,Travel to university,transportation,100.00%
255,dinner 2400,food,99.99%
256,Cinema,medical,100.00%
257,a gift for mother's birthday,personal,99.99%
258,Car insurance ,transportation,100.00%
259,cat food for 5,saving,99.99%
260,Apartment service charge - 500,housing,100.00%
261,Taxi to home,transportation,100.00%
262,Groceries shopping - 1500,food,74.83%
263,Coctails,saving,100.00%
264,beard trimmer for 15,nonsense,99.99%
265,Lunch in university,food,74.83%
266,cup 30,saving,99.99%
267,Grocery store ,food,74.83%
268,Cake for my sister's birthday  12000 naira,recreation,65.98%
269,laundry services 2000,nonsense,63.49%
270,Taxi to the party,transportation,100.00%
271,Bus fare -100,transportation,100.00%
272,Car fuel,transportation,100.00%
273,Gym fee - 700,medical,100.00%
274,Cable payment ,utilities,100.00%
275,Water bill,housing,100.00%
276,Apples,food,74.83%
277,bottle of sanitizer for 3,nonsense,100.00%
278,plate 40,food,99.99%
279,final fantasy xiv online in steam,medical,65.61%
280,postpone for a rainy day,nonsense,100.00%
281,Gass for $20,transportation,100.00%
282,guitar for 200,recreation,100.00%
283,Phone bill,utilities,99.99%
284,Subway at night $9.99,transportation,100.00%
285,Payment for fixing my nails 8000 naira,medical,53.76%
286,Payment for lunch at kfc 7000 naira,food,99.99%
287,Grocery shopping  50000 naira,food,89.79%
288,some extra money for fastfood,food,70.69%
289,wire 20,utilities,100.00%
290,breakfast 2000,food,100.00%
291,book 1oo,medical,100.00%
292,Netflix subscription renewal - 400,recreation,100.00%
293,New shoes,personal,100.00%
294,Travel back home,transportation,100.00%
295,soap 100,medical,100.00%
296,Bought vegtibles,food,79.56%
297,Bus fare ,transportation,100.00%
298,Repair phone ,utilities,99.99%
299,Presents for sister's birthday,miscellaneous,100.00%
300,Rent for house $995,housing,100.00%
301,spotify premium,medical,99.99%
302,lunch 3500,food,99.99%
303,match box 20,miscellaneous,99.99%
304,Tv bill,utilities,83.70%
305,Mown the garden $20,housing,100.00%
306,Phone Internet payment $55,utilities,100.00%
307,electronic purchase 40000,utilities,99.99%
308,apples for 10,saving,99.99%
309,8gb ram for main pc,utilities,100.00%
310,car 12v splitter,transportation,100.00%
311,pizza for 10,saving,100.00%
312,House rent,housing,100.00%
313,Evening drinks with friends- 500,recreation,99.99%
314,socks 50,personal,100.00%
315,vpn monthly payment,utilities,83.01%
316,short story book for 5,recreation,100.00%
317,Dry cleaners - 300,housing,100.00%
318,Phone payment ,utilities,99.99%
319,Clothes ,personal,99.99%
320,Shopping,food,100.00%
321,Nanny,miscellaneous,99.99%
322,School books,miscellaneous,100.00%
323,Hairdresser payment 7000 naira,personal,99.99%
324,Telephone bill 20000 naira,utilities,100.00%
325,Birthday cake for baby,saving,100.00%
326,Phone payment ,utilities,99.99%
327,grocery shopping,food,99.99%
328,betting ticket 800,saving,99.99%
329,Lunch - 250,food,79.56%
330,kales 20,saving,99.99%
331,jug 20,nonsense,100.00%
332,bottle of water for 1,food,77.74%
333,New clothes,personal,99.99%
334,new keyboard for main pc,utilities,100.00%
335,Cooking gas,housing,100.00%
336,plumbing repair 3000,saving,64.69%
337,Utility ,utilities,99.99%
338,gym fee for 15,personal,99.99%
339,Cable bill for the month 6000 naira,utilities,99.99%
340,snail feed 1500,food,99.99%
341,Luxury cloth payment 30000 naira,personal,99.99%
342,Health insurance ,medical,100.00%
343,Gas,transportation,100.00%
344,Breakfast,food,100.00%
345,new shoes for 20,personal,99.99%
346,pen 34,miscellaneous,100.00%
347,Monthly electricity bill 10000 naira,utilities,42.53%
348,Groceries for $50,food,99.99%
349,Internet bundle - 100,utilities,42.53%
350,Dad's birthdays gift is 20000 naira,recreation,99.99%
351,Lunch for myself at work,food,100.00%
352,Cooking pot,food,100.00%
353,10 Pieces Face Mask,personal,83.63%
354,monthly phone payment,utilities,100.00%
355,Daily fuel expense $15,transportation,100.00%
356,Pork 1500,food,99.99%
357,Gas 4000,transportation,100.00%
358,Son's allowances,miscellaneous,96.23%
359,Television stand,recreation,100.00%
360,Museum ticket 18,recreation,100.00%
361,Biography books on Amazon,personal,99.99%
362,Taxi fare is 700 naira,transportation,100.00%
363,Food and beverages $80,food,100.00%
364,Diapers for son with size L,miscellaneous,100.00%
365,rent,housing,100.00%
366,Groceries ,food,99.51%
367,Supplements,medical,100.00%
368,cookies,food,99.99%
369,Diapers,personal,99.99%
370,Aspirin,medical,100.00%
371,Working boots 2450,personal,100.00%
372,Electricity bill payment,utilities,99.99%
373,credit card debt 120,saving,100.00%
374,diesel 21 gallons $131,transportation,100.00%
375,Light bill payment,utilities,100.00%
376,Muffin,food,100.00%
377,Foodstuffs ,food,99.99%
378,bike brake cable,recreation,99.99%
379,Cats Litter Sand,miscellaneous,100.00%
380,Brought a wristwatch for Dad,personal,84.15%
381,Flour and vegetables ,food,91.79%
382,irish potatoes,food,99.99%
383,House rent payment,housing,100.00%
384,Chihuahua dog $150,miscellaneous,99.24%
385,LED bulbs 800,miscellaneous,86.71%
386,Grocery shopping costs 50000 naira,food,100.00%
387,transportation 100,transportation,100.00%
388,Baby clothes june,miscellaneous,99.99%
389,Building Maintenance Fee,utilities,100.00%
390,Toothpaste $2,food,96.54%
391,Coffee,food,100.00%
392,Medical center parking sept 2nd,medical,100.00%
393,flip flops 2 pairs $10 each,miscellaneous,58.29%
394,Eggs,food,100.00%
395,mobile contract renewal,utilities,100.00%
396,Sewing Box Kit Small,nonsense,99.99%
397,Five pieces of dry meat 1000,food,99.99%
398,School fees per semester $1500,saving,99.99%
399,Hair treatment ,personal,99.99%
400,Bread,food,100.00%
401,Living room sofa refurbishment $180,housing,100.00%
402,Kids school supplies,miscellaneous,98.30%
403,onions,food,100.00%
404,Car fuel,transportation,100.00%
405,Paid my schoolfees,saving,100.00%
406,1 packet of cakes,food,100.00%
407,Tissue,miscellaneous,99.99%
408,Taxi fee 5,transportation,100.00%
409,Phone prepaid recharge for mom,utilities,100.00%
410,spiriva 30 capsules,medical,99.99%
411,Rice 5000,food,99.99%
412,Gardening $120,housing,100.00%
413,electricity bill 65,utilities,100.00%
414,Cleaner fees,nonsense,99.99%
415,Train ticket 20,transportation,100.00%
416,Toiletries ,personal,100.00%
417,Bought banana,food,99.99%
418,Leather belt,personal,99.99%
419,Perfumes for women,personal,99.99%
420,Water 80,housing,100.00%
421,Kitchen mat $ 7,personal,99.99%
422,Cinema ticket,recreation,100.00%
423,Groceries,food,99.99%
424,bucket $2,miscellaneous,55.82%
425,groceries 300,food,99.99%
426,Dorm payment,housing,100.00%
427,Baby sitter's fee,miscellaneous,81.78%
428,Online shopping costs 35000 naira,miscellaneous,99.99%
429,Sweater ,personal,90.13%
430,Gas,transportation,100.00%
431,Frozen mixed vegetables ,food,99.99%
432,New shoes ,personal,99.99%
433,Phone credit,utilities,100.00%
434,Face primer,personal,99.99%
435,Wax,personal,100.00%
436,Trough $ 2,miscellaneous,91.96%
437,Lunch at a restaurant,food,100.00%
438,Datatop up  recharge 2000,utilities,100.00%
439,New book for university 50,miscellaneous,99.99%
440,3 Folks,nonsense,100.00%
441,A new laptop,utilities,100.00%
442,Vegetables 1000,food,99.99%
443,Butter,food,100.00%
444,Bookmarks,personal,99.99%
445,Health insurance 40,medical,99.99%
446,truck service bill $94.50,transportation,100.00%
447,Carpet $9,miscellaneous,98.15%
448,Bought groceries from shop,food,99.99%
449,Longsleeve,personal,99.99%
450,White meat $80,food,100.00%
451,Baby wet  wipes,personal,99.99%
452,Internet fee,utilities,100.00%
453,Cigarettes,personal,64.84%
454,Dish bill for the month 200,food,99.99%
455,Paid water bill,utilities,100.00%
456,Haircut and coloring for 2,personal,98.04%
457,Mortgage,housing,100.00%
458,Engine oil for Generator #1200,transportation,100.00%
459,Medical,medical,100.00%
460,1 packet of Royco for flavouring ,food,99.99%
461,School Uniform,personal,99.99%
462,Public transport august,transportation,100.00%
463,Multivitamins,medical,100.00%
464,New heels for Sallah #5000,personal,99.99%
465,Creams and oils,personal,99.99%
466,Electricity payment ,utilities,100.00%
467,Dry fish 500,food,100.00%
468,garden supplies 50,miscellaneous,98.47%
469,Uber monday home to work,transportation,100.00%
470,Pedicure,personal,100.00%
471,Phone charger ,utilities,100.00%
472,Buying mom's shoes 20 usd,miscellaneous,99.22%
473,scissors for daughter $10,personal,90.54%
474,Viand,nonsense,100.00%
475,Double sided tape,miscellaneous,94.18%
476,Groceries ,food,100.00%
477,Provisions ,nonsense,100.00%
478,glasses,medical,99.99%
479,Oranges,food,99.99%
480,Beddings,miscellaneous,93.27%
481,Headphone for my smartphone 300,recreation,77.04%
482,Shirts for kids 6,miscellaneous,97.07%
483,Bananas,food,99.99%
484,2 pens and 1 eraser,miscellaneous,99.99%
485,Taxi fare to home 500,transportation,100.00%
486,Airtime recharge for my phone,utilities,99.99%
487,Cellphone plan july,utilities,100.00%
488,4 sweet pants for 400,personal,99.99%
489,Monthly phone payment,utilities,99.99%
490,Brass faucets for new bathroom,housing,100.00%
491,Cornershop Monthly fee,utilities,100.00%
492,Water Bill,utilities,99.99%
493,babysitter fees,miscellaneous,99.99%
494,school fees payment ,saving,99.99%
495,Towels,personal,96.30%
496,Purchase of biscuit and juice 2500,food,100.00%
497,Evening tea 1.2 usd,food,100.00%
498,Cowboy boots,personal,99.99%
499,Car fuel 100,transportation,100.00%
500,Onions,food,100.00%
501,Phone payment ,utilities,100.00%
502,Registration to various occasions,recreation,99.99%
503,House cleaning fee 15,miscellaneous,96.06%
504,Tomatoes for three days,food,100.00%
505,Tuition,personal,53.92%
506,Pears Shower gel ,personal,100.00%
507,Entertainment for my kids $150,recreation,99.99%
508,Cooking pot $8,food,100.00%
509,Tissue,personal,99.99%
510,Electricity 150,utilities,99.40%
511,evening snacks 40,food,99.99%
512,Stationary products ,personal,90.35%
513,Flex tape,miscellaneous,99.86%
514,Club entrance ticket 15,recreation,100.00%
515,Change oil of car,transportation,100.00%
516,hand sanitizer 16oz $8.99,medical,100.00%
517,Fuel for car,transportation,100.00%
518,Car maintenance 50,transportation,100.00%
519,Olive oil,food,100.00%
520,flowers for mom,miscellaneous,96.91%
521,Gynecologist appointment wife,medical,100.00%
522,Gym membership fee,personal,99.99%
523,Shoes for sister's birthday,recreation,84.70%
524,Allowance for my younger siblings,miscellaneous,99.99%
525,Keychain,personal,99.64%
526,yams,food,100.00%
527,Sewerage charges,utilities,99.99%
528,Payment for car fuel is 7000 naira,transportation,99.99%
529,Coconut 800,food,99.07%
530,Donations ,miscellaneous,99.99%
531,Payment for manicure and pedicure is 10000 naira,personal,93.03%
532,Chocolate drink,food,99.99%
533,fuel for car ,transportation,99.99%
534,Uber eats dinner sandwiches Sept 9th,food,85.48%
535,Hair treatment,personal,100.00%
536,New wristwatch for son,personal,99.99%
537,Grocery store,food,100.00%
538,Fare to market,transportation,100.00%
539,nba 2k21 two copies,miscellaneous,89.36%
540,Dog food $50,food,100.00%
541,Mom's Health insurance premium,medical,100.00%
542,New couch,housing,100.00%
543,Books,personal,99.99%
544,Abaya for Sallah #15000,personal,100.00%
545,Food and wine,food,97.46%
546,School supplies ,miscellaneous,99.99%
547,Shopped for groceries,food,99.99%
548,phone bill 35,utilities,100.00%
549,Car fuel,transportation,100.00%
550,Strawberry juice,food,100.00%
551,Felt pen $1,recreation,94.83%
552,Water and electricity $30,utilities,100.00%
553,Permanent marker $2,miscellaneous,99.99%
554,Transportation to work,transportation,100.00%
555,Laundry for month,miscellaneous,99.99%
556,Clothes payment ,personal,97.56%
557,Electricity bill,utilities,99.99%
558,Book purchase from the book store,recreation,99.99%
559,vintage lighter $12,nonsense,84.47%
560,Perfume ,personal,99.99%
561,Mascara,personal,99.99%
562,Internet monthly payment,utilities,99.99%
563,Office supplies 10,miscellaneous,99.99%
564,Gold Eyeglasses,personal,99.99%
565,phone bill 40,utilities,99.99%
566,Courier fee 5000,transportation,100.00%
567,Mobile top-up 50,utilities,100.00%
568,gas/fuel 90,transportation,100.00%
569,Purchase of backpack 6500,personal,99.74%
570,A new pair of sneakers,personal,99.52%
571,Vacation $300,recreation,100.00%
572,Drink at the bar 85,recreation,99.99%
573,mortgage payment for month,housing,100.00%
574,Flowers for mom,miscellaneous,99.99%
575,Bike fuel 2000,transportation,100.00%
576,Manicure payment,personal,99.99%
577,Lunch at restaurant 17,food,100.00%
578,Rent for September ,housing,100.00%
579,Detergent powder 60,food,99.99%
580,Ordered food from KFC,food,100.00%
581,Stationery ,personal,95.90%
582,newspaper subscription for mom,utilities,99.99%
583,Purchase of food stuff 23000,food,100.00%
584,Lotion $2,personal,100.00%
585,Buying kales ,food,99.99%
586,Hair Dyer,personal,99.99%
587,Toothbrush ,personal,100.00%
588,transportation for 100,transportation,99.99%
589,Purchased a pack of salt,food,100.00%
590,Chicken 600,food,100.00%
591,Hair shampoo 500,personal,99.99%
592,Ordered clothes from kilimall,personal,99.99%
593,New shirt from H&M 24,personal,99.99%
594,Phone payment,utilities,99.99%
595,My bus fare to and from workshop,transportation,100.00%
596,Haircut,personal,76.49%
597,A new HDMI cable,miscellaneous,99.99%
598,Cooking spoons $ 2,miscellaneous,99.99%
599,House rent for month 1200,housing,100.00%
600,Rice Cooker,miscellaneous,87.56%
601,Microsoft Subscription ,utilities,99.99%
602,Detergent,personal,72.67%
603,mobile phone 30,utilities,99.99%
604,Buying shoes from Hepsiburada 850,personal,100.00%
605,Health Insurance,medical,99.99%
606,Beef jerky,food,100.00%
607,Hair salon,personal,99.99%
608,shoe rack,miscellaneous,99.99%
609,my car`s monthly insurance cover payment,transportation,100.00%
610,Gifts for father’s day,miscellaneous,93.66%
611,life insurance renewal,medical,100.00%
612,Nee cutlery ,food,100.00%
613,Shoe brush ,personal,99.99%
614,Groceries $10,food,100.00%
615,Payment of utility bill (water bill) 7500,utilities,100.00%
616,Maternity underwear amazon,personal,99.88%
617,Pencil set $1,miscellaneous,68.40%
618,Airplane Ticket,transportation,100.00%
619,Jersey purchase for Football match,personal,100.00%
620,Snacks 150,food,99.99%
621,Garbage disposal charges,utilities,99.99%
622,internet 45,utilities,100.00%
623,Dental expenses ,medical,100.00%
624,1 Knife ,miscellaneous,99.97%
625,Silken Tofu,food,99.99%
626,Facemasks,medical,99.99%
627,Breakfast sandwich,food,99.99%
628,Fare back home,transportation,100.00%
629,Travel Bag,personal,99.33%
630,groceries 400,food,100.00%
631,Shirt for Father #3000,miscellaneous,95.40%
632,Gas bill payment,utilities,100.00%
633,Gardner's payment ,housing,100.00%
634,Purchase of internet date 5000,utilities,100.00%
635,Shorts for women,personal,99.74%
636,1 rug,housing,99.99%
637,Fare,transportation,100.00%
638,School expenses,miscellaneous,99.99%
639,Covid self test 10,medical,100.00%
640,Personal care,personal,100.00%
641,1 Packet of milk for breakfast ,food,99.99%
642,Insurance,saving,100.00%
643,Gift for my cousin's Birthday,recreation,99.99%
644,Chocolate candies Sept 12th,personal,92.14%
645,phone bill 35,utilities,99.99%
646,Health insurance ,medical,100.00%
647,Parking fee,transportation,100.00%
648,Travel Insurance,recreation,100.00%
649,Driver's licence renewal,transportation,99.99%
650,phone payments,utilities,89.95%
651,Tent,recreation,92.96%
652,Sugar 500,food,98.80%
653,lightbulbs,miscellaneous,99.99%
654,Breads for Breakfast,food,99.99%
655,Monthly mortgage payment,housing,99.99%
656,Rent,housing,99.99%
657,Gas/fuel 50,transportation,99.99%
658,Cable and internet connection $30,utilities,99.99%
659,Transport 3000,transportation,100.00%
660,monthly truck insurance,saving,100.00%
661,Tv channel subscriptions 8700,utilities,99.99%
662,Ceramic Vase from PepperFry,recreation,99.94%
663,Car rent for montó 300,transportation,100.00%
664,Rolling stick $1,personal,99.60%
665,summer pajamas for 2000,personal,99.99%
666,kindergarten fees,saving,100.00%
667,Dinner from mc Donald's 75,food,99.99%
668,Servicing my car,transportation,100.00%
669,Groceries,food,100.00%
670,Auto insurance,transportation,99.99%
671,Gifts for dad ,recreation,85.06%
672,Bus fare 2,transportation,100.00%
673,Medical expenses ,medical,100.00%
674,Wife heartburn medicine,medical,100.00%
675,Bubble tea,food,72.18%
676,Payment for pizza is 4500 naira,food,100.00%
677,birthday gift for girlfriend,recreation,100.00%
678,Apple cider vinegar,food,99.99%
679,Portable Speaker,recreation,51.06%
680,Dinner with family,food,99.99%
681,Toiletries $30,miscellaneous,99.99%
682,Top up credit ,utilities,99.99%
683,New shoes for sister #2500,personal,100.00%
684,father birthday cake,recreation,99.99%
685,Aircon,nonsense,64.99%
686,Gold loan repayment,saving,100.00%
687,Hygiene Kit,medical,97.77%
688,Banana cakes,food,100.00%
689,Handbag,personal,99.99%
690,Perfume,personal,100.00%
691,Chicken thighs 1 kg,food,100.00%
692,Computer Accessories,miscellaneous,89.60%
693,investments 100,saving,100.00%
694,Medicine 500,medical,100.00%
695,Fruits and vegetables ,food,99.99%
696,monthly internet payment,utilities,99.99%
697,Laptop from Amazon,miscellaneous,100.00%
698,Handkerchief $1,personal,99.99%
699,Heels,personal,97.40%
700,tomatoes ,food,100.00%
701,Water bottle 0.3 usd,food,100.00%
702,pencils for school,personal,80.89%
703,Phone case 900,saving,99.99%
704,Purchase of poultry feed 9000,medical,99.99%
705,New printer ink,miscellaneous,99.99%
706,Mortgage payment 300,housing,100.00%
707,phone screen repair,utilities,99.99%
708,Fixing of water pump machine 40000,utilities,99.99%
709,Manga juice 1.5 usď,food,100.00%
710,Dozen brown eggs,food,99.99%
711,Toothpaste ,personal,99.99%
712,Canned tomatoes ,food,99.99%
713,Birthday present for baby sister,recreation,100.00%
714,Grocery store,food,99.99%
715,Mortgage quote september,housing,99.99%
716,Mouse 3500,miscellaneous,99.99%
717,A new suit case,recreation,99.99%
718,cocktails friday,nonsense,99.88%
719,Gaming $50,recreation,99.99%
720,groceries 600,food,100.00%
721,Grocery shopping ,food,99.99%
722,Celeteque Hydration Make-up Remover Facial Wipes,personal,100.00%
723,Vegetables 1000,food,98.07%
724,Propane small tank $12,utilities,86.12%
725,Underwear for Aunt,personal,100.00%
726,Manicure,personal,99.99%
727,delivery fees for 100,miscellaneous,99.99%
728,Leather jackets,personal,100.00%
729,A pack of Insecticide,housing,99.99%
730,car insurance renewal,transportation,100.00%
731,Groceries 30,food,100.00%
732,New school bag purchase,personal,100.00%
733,Zara High Waist Skinny Jeans,personal,99.99%
